Nº BO,Tipo Registro,Data,Hora,Tipo de BO,Natureza / Crime,Endereço,Município,UF,Nº Presos,Nº Apreensões s/ Prisão,Drogas TOTAL (kg),Cocaína/CH (kg),Pasta Base (kg),Maconha (kg),Crack (kg),Óxi (kg),Metanfetamina (kg),Ecstasy (comprimidos),Armas Apreend.,Munições Apreend.,Veículos Apreend.,Gasolina Boliviana (L),Diesel Boliviano (L),GLP (botijas),Cigarros (maços),Madeira Apreendida (m³),Desc. Celulares (un.),Desc. Roupas (un.),Mercadorias Descaminho (R$),Eletrônicos (un.),Embarcações (un.),Motor de Popa (un.),Ouro (g),Animais/Pescado (R$),Folha de Coca (kg),Dinheiro (R$),Meio,Ambiente,Destino dos Envolvidos,Latitude,Longitude,Descrição Resumida,Nacionalidade, Prejuízo Estimado (R$), Valor Estimado Descaminho (R$), Valor Estimado Veículos (R$), Multa (R$),Operação
3375300090,COP,27/06/2026,19:12:36,Comunicação de Ocorrência,DESCAMINHO,,Guajará-Mirim,RO,0,1,0,0,0,0,0,0,0,0,0,0,1,0,630,0,"0,0000","0,0000",0,"R$ 0,00","R$ 0,00",0,1,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",Fluvial,Porto clandestino / margem do Rio Mamoré,,"-10,798258","-65,342165",,Internacional," R$  23.284,00 ", R$  -   ," R$  19.000,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
3381000015,BO/PA,27/06/2026,11:21:08,Prisão/Apreensão,"TRAFICO DE DROGAS (LEI 11.343/06, ART. 33)",,Machadinho D`Oeste,RO,2,0,"0,0059","0,003",0,"0,0009","0,002",0,0,0,0,0,0,0,0,0,"0,0000","0,0000",0,0,"R$ 0,00",0,0,0,0,"R$ 0,00","R$ 0,00","R$ 1.083,00",Terrestre,Residência,,"-9,423449","-61,987039",,Brasileira," R$  1.332,50 ", R$  -   , R$  -   ,,Protetor da Fronteira e Divisas
3297401783,BO/PA,27/06/2026,20:02:13,Prisão/Apreensão,CUMPRIMENTO DE MANDADO DE PRISAO,,Porto Velho,RO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0000",0,0,"R$ 0,00",0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00",Terrestre,Via pública,,"-8,738733","-63,897063",,Brasileira, R$  -   , R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
3286200964,COP,26/06/2026,16:00:39,Comunicação de Ocorrência,DESCAMINHO,,Porto Velho,RO,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22000,0,"0,0000","0,0000",0,"R$ 0,00","R$ 0,00",0,1,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",Terrestre,Zona rural / margem de rio (garimpo),,"-9,226095","-64,600843",,Brasileira," R$  629.600,00 ", R$  -   ," R$  480.000,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
3374900085,TCO,26/06/2026,6:39:21,Termo Circunstanciado,"CRIME AMBIENTAL - FAUNA SILVESTRE EM CATIVEIRO (LEI 9.605/98, ART. 29, §1º, III)",,Pimenteiras do Oeste,RO,0,1,0,0,0,"0,00","0,00","0,00","0,00",0,0,0,0,0,0,0,"0,0000","0,0000",0,0,"R$ 0,00",0,0,0,0,"R$ 1.500,00","R$ 0,00","R$ 0,00",Terrestre,Residência,,"-13,481722","-61,046333",,Brasileira," R$  1.500,00 ", R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas / Protetor da Fronteira e Divisas
3257300790,COP,26/06/2026,16:16:20,Comunicação de Ocorrência,DESCAMINHO,,Guajará-Mirim,RO,0,1,0,0,0,0,0,0,0,0,0,0,0,80,0,0,"0,0000","0,0000",0,0,"R$ 0,00",0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00",Fluvial,Via pública / Porto clandestino (Pérola Negra),,"-10,795","-65,3446",,Internacional," R$  544,00 ", R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
3297401772,BO/PA,26/06/2026,10:47:37,Prisão/Apreensão,CUMPRIMENTO DE MANDADO DE PRISAO,,Porto Velho,RO,1,0,0,0,0,"0,00","0,00","0,00","0,00",0,0,0,0,0,0,0,"0,0000","0,0000",0,0,"R$ 0,00",0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00",Terrestre,Zona rural,,"-8,7382084","-63,8672535",,Brasileira, R$  -   , R$  -   , R$  -   ,,Protetor da Fronteira e Divisas
3375300089,BO/PA,26/06/2026,19:51:24,Prisão/Apreensão,CUMPRIMENTO DE MANDADO DE PRISAO,,Guajará-Mirim,RO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0000",0,"R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",Terrestre,Via pública,,"-10,7875788","-65,3341157",,Brasileira, R$  -   , R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
3381000014,BO/PA,26/06/2026,6:20:06,Prisão/Apreensão,"CUMPRIMENTO DE MANDADO DE PRISAO (DEFINITIVA, ART. 157 §2 - ROUBO)",,Machadinho D`Oeste,RO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0000",0,0,"R$ 0,00",0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00",Terrestre,Zona rural / residência,,"-9,147655","-62,252158",,Brasileira, R$  -   , R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
3375300088,BO/PA,25/06/2026,3:41:36,Prisão/Apreensão,CONTRABANDO (CP ART. 334-A),,Porto Velho,RO,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"99500,0000","0,0000",0,0,"R$ 0,00",0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00",Terrestre,Rodovia (barreira/bloqueio),,"-9,7267","-65,243503",,Internacional," R$  1.075.000,50 ", R$  -   ," R$  100.000,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
3297401771,BO/PA,25/06/2026,15:14:40,Prisão/Apreensão,"TRAFICO DE DROGAS (LEI 11.343/06, ART. 33) / ASSOCIACAO PARA O TRAFICO (ART. 35) / ORG. CRIMINOSA (LEI 12.850/13)",,Porto Velho,RO,2,0,"0,5796",0,0,"0,5796",0,0,0,183,0,0,1,0,0,0,"0,0000","0,0000",0,0,"R$ 0,00",0,0,0,0,"R$ 0,00","R$ 0,00","R$ 2.040,00",Terrestre,Residência,,"-8,7344913","-63,841242",,Brasileira," R$  20.938,00 ", R$  -   ," R$  16.000,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
